tid,text
926297572762890240,I keep telling people not to smoke in my house cuz I have asthma and I don't feel like dying. But they don't seem to care
926843624649887744,Nothing a bunch of different kind of pills won't fix. I refuse to take the benadryl tho. Untuh. Nooooope. Not gonna happen. Or the steroids.
926352151764279296,"RT @monalisadeka22: Join @1mgOfficial FB live session at 3pm with renowned Pulmonologist Dr. Vikram Jaggi. Myths &amp; Facts of #Asthma
https:/"
926850115809112064,I keep sneezing 
924238711705006081,"A couple of studies presented at the American College of Allergy, Asthma and Immunology (ACAAI) suggest having pet https://t.co/eIXlHm9lz1"
925982624383995905,RT @sydneypollack4: today my doctor literally told me i was going to die if i didnt get a flu shot bc i have asthma so i didnt get the fl
927330169697730566,It's past midnight which means I'm entering week 3 of this pneumonia and my lungs are still in danger of exiting my body each time I cough.
927416470715490304,"RT @fakecoatesy: Wentz looks like a deer in the headlights this game, @RealSkipBayless. A 48-point buck on steroids."
926615700151717888,"#Asthma #Drug May Slow #Brain Damage Multiple: https://t.co/CiWhlgz934, https://t.co/BszLR7lCDP https://t.co/tT3ZbvSY4s"
927041230428520448,"RT @Scorr_pion: #PrecautionsAgainstSmog
 Smog caused asthma problem in humans so save yourself from smog"
926943000994963456,Im the one who told her about alternate nostril breathing when she had pneumonia; then she steals MY idea! WTF? #DonnaBrazileBookExcerpt
925156128618508294,#Dookie #pollen forecast for today(31 Oct) is HIGH. Yesterday's #pollen count was LOW (5 grass grains/m3).
925331768932257793,Tuesday's Air Quality forecast for Cincy is GOOD.  Children with asthma have no Air Quality Restrictions.
926858872068874242,Cant sleep cause of sinus issues. Cant sleep cause of sinus issues making me cough as I fall asleep. Help me
924723521963601922,"RT @stvhringtn: he protec
he attac
he has asthma attac https://t.co/LZ7XgBXJYd"
923847833161273345,@MarkieMogul Lmfaoooooooooooooooooooooooo pass me my asthma pump and shh 
926942542272323585,RT @degvusser:  dont use your inhaler when you have an asthma attack  you arent focusing on the problem  of literally not 
926767090115026944,#Asbestos Risks During Renovation | #Atlanta GA | Mold-B-Gone https://t.co/NTTQCwqBNB PLEASE RETWEET https://t.co/eP3bir9tSB
926729281430020096,@angel_txt He's prince charming from Shrek 2 but on steroids
927417332669988864,Eliot apparently has asthma and Ive been laughing at his asthma attacks thinking he was just coughing up a hairball and being dramatic.
925647413410443264,fuck having asthma
927085448433987584,@KabeloM06 Mostly the heat.. asthma attacks
923820100947410945,Laughed so hard my asthma started acting up 
925253090936102912,Best Unani herbal treatment for  Asthma in   India ..For more info visit... https://t.co/aDhvWP8xkH
927114408928583680,XLRI or MDI | Which one is better for MBA (HR) ? https://t.co/YDRhz5a2MZ
926831828756865025,"Why Use Hepa Filter | Olansi Healthcare Co.,Ltd https://t.co/sGQyD3MHwX https://t.co/Wy6nx07AFm"
926729637756936192,Mold removal and remediation techniques https://t.co/WFNNtSbwKg
925569230199803904,Consuming fish during pregnancy reduces asthma risk in newborns - Deccan Chronicle https://t.co/T4wNSvF0X6 #health
927553675647647744,Linked comment: FeNO and suspected asthma: better to identify responsiveness to treatment than to label with a diag https://t.co/tK5QHvhLgX
926971153804959744,@UofOklahoma @OU_Football I'm going to need an inhaler watching these games and I don't even have asthma 
927072188611682304,IBM Is Using Weather Data To Help Predict Asthma Attacks https://t.co/oxw1UTSsQz
924667223221981184,@somizi though! Me nale asthma! #idolssa
925001793117065216,The four bugs that protect us from asthma https://t.co/8andHOZ3G6 #science via @CosmosMagazine
927234334519472128,@Moccoboy All these motherfuckers are on steroids
926785474764722176,@cuddly_dino I just told my mum this she just replied sade gad de munda ah Im weezing 
924764752399818752,PROD: Asthma Pair Primary Humble https://t.co/ZwR2yzUgs6
927629065007321089,"Finally got a doc appt for Wednesday. Hopefully I can make it until then, this sinus infection is the worst "
926258964970516480,@SlumberReads Same expect its asthma attacks. Got a huge test tomorrow and I dont think Im gonna do good.
927270851455700992,@HotlineJosh She had pneumonia!  It happens. .
926831521541099520,#Atlanta #Asbestos Facts and Information | Mold-B-Gone https://t.co/635IqmXWFy PLEASE RETWEET https://t.co/WDh2U3sUk6
926964862189735936,"@RiotAzael I Guss it sums up to that but these 3 games felt more like a game of chess on steroids then league.
Can' https://t.co/qNMXjGkYvf"
926393627584188416,if you suffer from asthma and need help check this out! https://t.co/XOIgxIXkkO
926857657243144193,Call us at 850-477-1151 or click here for more information about mold testing! https://t.co/vgfS5rhvIx https://t.co/AiNLODUQXL
927619322452705280,Workers Compensation for Occupational #Asthma https://t.co/yU836P5g6z #workerscompensation https://t.co/sX97efUFYh
924936433525231616,A Day in the Life of Someone with Asthma https://t.co/WehA7ptDxI
922982102886440960,"RT @ONeducation: Ontarios next step in improving health &amp; well-being of students with asthma, food allergies, epilepsy, diabetes "
927578228340023296,@4evaaq Coochie gone have pneumonia
926875691919876097,"Live Eel Tank, Old Food, Mold, Slime Growth: Atlanta Restaurants https://t.co/F1eJOz5sWo https://t.co/gdKekxJdz6"
925259602345672704,"Study shows genetic risk factors for asthma, hay fever and eczema
https://t.co/MBGTeSE7H7 https://t.co/ZbBV93Mv3B"
927208294380433408,RT @VinitaMishra15: #BiggBoss11 @BeingSalmanKhan is it ok to make fun of Vikas's tennis elbow but not Hina's asthma #UnfairHost #bb11
926933466733826048,@TrumpSC Combust is meteor on steroids wth
927395421017837568,"@BootlegGirl novacaine? benedryl? Cat dander?! i dont know, im grasping"
925833340145381376,you mess with plenty nigha sorry baby i aint that fuck around and chase yo fast ass n have a asthma attack
924521821843742720,Fully convinced that my cat has asthma :/
925010136313106433,Currently getting out played by asthma irl
926856815991836673,Chk out info on outbreaks of #hepatitisA in multiple states in people who are homeless &amp; who use drugs https://t.co/5bwrR8cWP5  #HepA #GCPH
924446236077203456,asthma nooo
924455094866898944,FUSION POKEMON #01: Weezing/gloom: https://t.co/GbxoiNP9L2 via @YouTube
927583855783096322,Having a sinus headache for most of my day so far has not been fun! I hope everyone else has a fantastic Monday though!
927298873931988997,confections on steroids
922962434914226178,RT @MyPotnaB: And who get cold RT @Pattric: And who are ticklish RT @ToeKnee2GX: And allergies RT @SOruthless_305: Men with asthma are fagg
926758507096940545,We're sponsoring the #Mold annual #firework display at @Mold_AlexFC organised by @NorthWalesFire tonight. Gates ope https://t.co/FsUrMYdaLn
925904378212618242,Tis the season for my asthma to return with vengeance #Winter #IndoorDryHeat
927152238048436225,my free thinkings (blogs of Abdur Rouf): Asthma: 8 Natural Remedies (Source: www.davidwolfe... https://t.co/RVrBWcgHZU
927565315466199043,@Stephdavis77 My LO started with a cough. turned to Croup. 2 X steroids. Raise mattress under his head and rub Snuf https://t.co/Iz0Uo8i5xf
926266272731590656,SPLASH! Koffing and Weezing https://t.co/GcZv9hcufW
926842829783126016,"12 Packs of Medium Size Clear Plastic Bath Bomb Ball Mold  2.125 Diameter (2 Piece Set, 24.. https://t.co/2puSwc9OIQ"
927101853518594050,@vapetana u got asthma? cause u got ass ma
927038786382557184,RT @MrAliAdel: This isn't gonna mean a thing when they pop GSP for steroids next week lol #UFC217
926934570368462850,story time: a gif gave me an asthma attack?! https://t.co/rLgT7YTPWk
926511311701401605,"RT ForksOverKnives ""How a #plantbased diet reversed his asthma &amp; eczema: https://t.co/U6c9zlAdlM #vegan https://t.co/VP2tG6N71C"""
927561511652003845,For my brother! She Died of Pneumonia and visited Heaven - Yvonne Sklar https://t.co/cVcIAS6pvU via @YouTube
925481759575244801,adult onset of asthma https://t.co/ijVI4gMsZU
925953675377434624,AstraZeneca's experimental drug tralokinumab fails two late-stage asthma studies! https://t.co/paJhHicHzi
925709060200194048,"Both fish and fish oil supplements can prevent childhood asthma, says review https://t.co/JkvE4ES7SB"
927061661596422147,"Its when your lungs fill with fluid. Not yet pneumonia. Symptoms include cough, chest pains, fatigue, and trouble breathing"
924987483431096320,I dislike having asthma.. 
927024348841627648,This shit is like Scooby Doo on steroids #StrangerThings2
926785227216715779,Nonstop sneezing shits
927632071065063425,"My asthma pisses me off so much. Every time I start to improve my running endurance, my troubled breathing sets me back. #fuckoff "
926032561956061184,10 Effective Home Remedies For Asthma That NeverFail https://t.co/pVaeQe08Y1 https://t.co/jZKueDHnnl
927113317214285824,"@DuchessStoHelit Sneezing after nasal and sinus surgery, which is what I did the other day. Blood bath! "
927096353003659265,Same as fuck. I've been wanting to know if I still got asthma https://t.co/U9m25I6LTV
927679274034827265,Pathology-Radiology Correlation of Common and Uncommon CT Patterns of Organizing Pneumonia https://t.co/NBKNCTehkP
925730364995375106,"Vaccine injury ISN'T ""rare""... 

In fact... it's SO common that most people don't even realize they've been injured... 

Asthma... allergie"
924435440442269699,Weezing until 09:06:43pm (27m 24s). 8.3km E of downtown. https://t.co/FV3uuOGQtp
924761927816953857,"Oregon hiking update--

Bigfoot sightings: 0
Asthma attacks: 3 https://t.co/kqc3cGzqN4"
926936183103516672,Defence on steroids? https://t.co/zeaayqm95G
923729658427867136,Early Education the Natural Way: City Kids with Asthma Benefit from Living Near Par... https://t.co/TFaysNXtXA
926331062262800384,@NEETAS11 @mukeshmukeshs I am suffering from asthma from 26y I hadn't option to leave India bcz every where in Indi https://t.co/8lQrMOtFum
925754214508249088,"Screw melbourne :( thunderstorm asthma, cold, pollen, dry weather where 2 next???"
923818832677961729,RT @WeedFeed: Can cannabis treat asthma? Raphael Mechoulam and Francesca Levi-Schaffer of Hebrew University are finding out 
926835143951638533,@kinghi6ler Mold you into the successful person you gone be one day just keep pushing 
925530516497096704,asthma attack laughing
926164842779734017,@rantramblepod @ForTheirVoice Half the state of Nebraska is open vats of pig waste and residents have asthma from i https://t.co/PSj5uB8XfS
923880047290830849,"Considered telling my family im not straight(I'm Bi), thought of possible outcomes...I have asthma now."
924093161747697664,Could Israeli Medical Marijuana Research Help Treat Asthma? | Jewish &amp; Israel News https://t.co/gE0a6zGosu https://t.co/bDytOsmMyl #canna
925756861957201920,"What to do in an asthma attack, including how to spot the warning signs and having a personal action plan: https://t.co/LoW0IPOkB2"
926745127325802496,Take your nebulizer anytime and anywhere. Enjoy breathing free. https://t.co/6jhObjiaXO
926510069109395456,The black preachers that sound like they are having an asthma attack when they wrapping it up  so real @Wm40A @PhenomBlak
925769673567801344,Asthma in US lesbian Hispanics reported to be greater than in their heterosexual peers.(A J Public Health) #Zusia https://t.co/I6yhEN2IPF
927574464807800832,@R3NDA7 @Shindledecker54 Well someone is on steroids
926598212168716288,RT @WellnessTipero: Purchase an air purifier to eliminate many allergy and asthma symptoms. #allergy https://t.co/OKcSr64Jnv https://t.co/t
927171503581515776,RT @MiamiNewTimes: Studies have shown that performance-enhancing anabolic steroids can cause adverse health side effects to greyhounds. htt
926744014660997120,"RT @healhistamine: Here's four high histamine foods that can trigger allergy-like symptoms, and reasons why they're not a part of my... htt"
925166765025386496,RT @dlanniebrown: Had my first ever asthma attack today. Crazy!!!
923902089293688832,@JayPFisher I get it free cos of my asthma. Never had side effects and I think it's a good thing to do. Flu is not nice.
926562682844610560,Took off my glasses and had it poised over my eye to squeeze it. When my brain caught up and yelled at me Thats albuterol! For asthma! 3/
927198282228539393,"RT @speakout_april: @MelissaJPeltier @ms_sharims You think Fox is bad, Sinclair is nuts!!! State TV on steroids! It's unbelievable they're"
927232265217814528,@DaShanneStokes @lavenderblue27 WTF.....HAS America LOST HER Marble's. Its like the Twilight Zone on STEROIDS!! Mon https://t.co/8RS2MTSk68
925816223291641856,Feel Better Immediately With These Helpful Asthma Solutions - https://t.co/BG3Udf4xgJ
927173752265347072,My neck hurt from sneezing so bad I can't even sleep right..I been up since 5am struggling
927596711186399233,Does Plexus work? Check out Roberts testimony! Enjoying great health no migraines or sinus infections!! https://t.co/HoYCMg2ax7
925563384115990528,Louis is not at sprinkles. I just ran 18 blocks with asthma to find this out.
924566571737141248,"Due to my cold/the weather change, my asthma has been off the charts and horrifying. Prayer would be much appreciated"
927367291322462208,casually having an asthma attack in the stairwell lolol
925755247015886848,"@KeefJudge A bigger fuck than I first thought - I'll get my coat 
My annual asthma appointment is a waste of their https://t.co/rgsXk4IzOh"
927325210864504833,Why are anabolic steroids illegal - Why is Their Use Prohibited https://t.co/9wgOFf2ioK
924852046930554880,On that asthma grind ya feel https://t.co/S8tiKUTvFJ
926928038394245120,"We have good quality Medical Mari-jua-na and Wax / Oil for sale at
discount prices .we also  supply steroids,pills https://t.co/52dj0Sgaq8"
927391893457129475,New post on CSRF: Inferior Petrosal Sinus Sampling in the Diagnosis of Cushings Disease https://t.co/CSZAsTLhpL
927225838315212800,I think all the steroids have weakened his brain. Bushes were worst leaders of all time. Political globalist when w https://t.co/2tUGl7ZkR6
926637972132315136,No sleep + fever + asthma + allergy hehe. But I gots to work bc so many oders grr.
926267218916122624,RT @Rob_Tae_Jaeger: NAMJOON IN CAMPANIA A POSITANO DIO SUINO GIUSEPPINO *BREATHES LIKE HE HAS ASTHMA CUZ THIS IS SUCH HIGH QUALITY OXYG 
925644383570890753,I think my dog just had an asthma attack help
925845218074791942,"Proven safe &amp; effective pantangal ng
Skin Asthma, Psoriasis, Pimples, Scars, sugat, alergy, any skin Diseases

Pm/C https://t.co/lnDImP5iNk"
923913876973928448,"you guys I scored an inhaler last night free of charge. no doctor visit, nothing. 
I'm so happy :)) no more 4 hour long asthma attacks "
925117531647553541,scorpios make me need an inhaler and i dont even have fucking asthma
925768637993984000,been struggling with asthma for days now 
925452009842577408,Understanding the mecanism of asthma and the solutions to cure it WATCH VIDEO -&gt; https://t.co/8sfxBItihZ https://t.co/wBfu5QtXnC
924722998048935938,I liked a @YouTube video https://t.co/q0uATU4s2X Would You Help a Police Officer Having An Asthma Attack ?
927208525595492352,Steroid-sparing agents are exciting! Mepolizumab improves clinical outcomes and  steroids in EGPA. Still hard to https://t.co/mYsdgU9sHA
927548434965508097,"Upsetting realizations: I've been awake for 6 hours already and it's not even 10

Also cool cool cool cough and sinus headache"
926875546461659136,RT @barrycouchman: Nearly ready for bonfire and firework display at Mold Alex FC. Gates open at 6pm https://t.co/c8R10gr02F
924313756192010240,@InfiniteRaiders How is the smog out there? I remember in Pak SQ could barely breathe with his asthma
925901465624940549,Fin fact: Weezer got it's name because Rivers Cuomo has asthma and was teased about it when he was a kid 
927598943311155200,@minniefrickers the man who spits bars like @ConorMaynard on steroids. The one guy who no one can trust. Finally th https://t.co/5ILWnYWttC
922735139528036352,Jerusalem cannabis guru to study effect of weed on asthma https://t.co/zGkZaioVmH
926076045547261952,"Tre melvin? Is it your turn? 

Qoukd u like to make some ""wise crack"" on my supposed asthma or unmatched clothing, https://t.co/ovPdvmlbDJ"
926280921271160833,"I can't fix my asthma by doing five minutes of stretches, but I can keep my body limber and my muscles functional. It does help."
926528336351907841,Do you have Asthma? Find out here. Click link https://t.co/cKtrjMHT8x https://t.co/o82J8aWo0D
926631158145863685,"@thehill On behalf of every one who suffers from asthma
 @EPAScottPruitt @EPA"
927462208245772289,"NowPlaying : Fila Brazillia - Phosphorous- Asthma 
https://t.co/6xYfG2ISbo

#Android App https://t.co/CNVd3H3ikH

#PeripouWebRadio"
924642220359278592,"RT @verronicaelena: my asthma is very bad atm and cant breathe so if i die in my sleep, know i wanted it that way hehe"
925230272601317376,This weather stresses me out w this asthma
927404643507953664,RT @allie989898: I started having a random asthma attack in church today and I think it was a subliminal message that I need to get my life
927424639919316992,RT @RocheStrategies: @JordanChariton @HillaryClinton @SenSanders Their argument is like arguing steroids in sports don't matter because 
926839836090171392,why do i keep sneezing
